@relation ClassifierData

@attribute Term_frequency numeric
@attribute IDF numeric
@attribute TFxIDF numeric
@attribute First_occurrence numeric
@attribute Last_occurrence numeric
@attribute Spread numeric
@attribute Domain_keyphraseness numeric
@attribute Length numeric
@attribute Generality numeric
@attribute Node_degree numeric
@attribute Semantic_relatedness numeric
@attribute Wikipedia_keyphraseness numeric
@attribute Inverse_Wikip_frequency numeric
@attribute Total_Wikip_keyphraseness numeric
@attribute Keyphrase? {False,True}

@data
0.000151,1.609438,0.000243,0.591769,0.948036,0.356267,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.40054,0.476616,0.076076,0,1,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.657452,0.900852,0.243401,0,1,0,0,0,0,0,0,False
0.000151,0.510826,0.000077,0.477863,0.837664,0.3598,0,1,0,0,0,0,0,0,False
0.000226,0.510826,0.000116,0.845562,0.889628,0.044066,0,1,0,0,0,0,0,0,False
0.000377,0.223144,0.000084,0.851798,0.961131,0.109333,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.31324,0.496778,0.183538,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.216587,0.59551,0.378923,0,1,0,0,0,0,0,0,False
0.000226,0.510826,0.000116,0.885471,0.935356,0.049886,0,1,0,0,0,0,0,0,False
0.000302,1.609438,0.000486,0.022241,0.635003,0.612762,0,3,0,0,0,0,0,0,False
0.000302,1.609438,0.000486,0.022033,0.298067,0.276034,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.115776,0.377468,0.261692,0,2,0,0,0,0,0,0,False
0.002037,0.510826,0.001041,0.037622,0.949283,0.911661,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.065267,0.793598,0.728331,0,2,0,0,0,0,0,0,False
0.000151,0.223144,0.000034,0.530659,0.552484,0.021825,0,1,0,0,0,0,0,0,False
0.000453,0.510826,0.000231,0.075452,0.712534,0.637082,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.280399,0.779879,0.49948,0,2,0,0,0,0,0,0,False
0.000302,0.223144,0.000067,0.12513,0.253378,0.128248,0,1,0,0,0,0,0,0,False
0.000679,1.609438,0.001093,0.39576,0.536687,0.140927,0,3,0,0,0,0,0,0,False
0.000755,0.510826,0.000385,0.039285,0.980254,0.940969,0,1,0,0,0,0,0,0,False
0.000226,0.916291,0.000207,0.411557,0.551237,0.13968,0,1,0,0,0,0,0,0,False
0.000377,1.609438,0.000607,0.024735,0.817709,0.792974,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.828102,0.96217,0.134068,0,3,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.078362,0.971524,0.893162,0,1,0,0,0,0,0,0,False
0.000453,0.510826,0.000231,0.042403,0.850551,0.808148,1,1,0,0,0,0,0,0,False
0.000151,0.223144,0.000034,0.060279,0.676575,0.616296,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.737684,0.742881,0.005196,0,2,0,0,0,0,0,0,False
0.000453,0.916291,0.000415,0.474538,0.927042,0.452505,0,1,0,0,0,0,0,0,False
0.001056,0.223144,0.000236,0.268967,0.94762,0.678653,0,1,0,0,0,0,0,0,False
0.001887,1.609438,0.003036,0.024319,0.987113,0.962794,0,1,0,0,0,0,0,0,False
0.000377,0.916291,0.000346,0.271461,0.779879,0.508418,0,1,0,0,0,0,0,0,False
0.000604,0.510826,0.000308,0.172521,0.664103,0.491582,0,1,0,0,0,0,0,0,False
0.000377,0.510826,0.000193,0.811058,0.954687,0.143629,0,1,0,0,0,0,0,0,False
0.000226,1.609438,0.000364,0.167948,0.776138,0.60819,0,2,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.890875,0.89524,0.004365,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.335689,0.450634,0.114945,0,4,0,0,0,0,0,0,False
0.000302,1.609438,0.000486,0.717314,0.729994,0.012679,0,1,0,0,0,0,0,0,False
0.000528,0.223144,0.000118,0.272501,0.780087,0.507587,0,1,0,0,0,0,0,0,False
